Name,id
Bram Adams,101
Wolfgang De Meuter,103
Herman Tromp,104
Ahmed E Hassan,105
Zhen Ming Jiang,106
Omar Alam,107
Anton Barua,108
Stephen W. Thomas,109
Nicolas Bettenburg,110
Michel Smidt,111
Meiyappan Nagappan,112
Weiyi Shang,113
Walid M. Ibrahim,114
Ying Zou,115
Emad Shihab,116
Dirk Beyer,117
Brian Chan,118
Anand Sinha,119
Tse-Hsun Chen,120
Tejinder Dhaliwal,121
Foutse Khomh,122
Stephan Diehl,123
Harald C. Gall,124
Martin Pinzger,125
Richard C. Holt,126
Khalid Elgazzar,127
King Chun Foo,128
Parminder Flora,129
Miryung Kim,130
Daniel M. German,131
Gregorio Robles,132
Daryl J. Martin,133
Paul Mansfield,134
Dave Dietz,135
Jingwei Wu,136
Tao Xie,137
Ken Zhang,138
Michael W Godfrey,139
Audris Mockus,140
Israel T. Herraiz,141
Bruno Lague,142
Se??bastien Lapierre,143
Charles Leduc,144
Alberto Avritzer,145
Gilbert Hamann,146
Yasutaka Kamei,147
Shinsuke Matsumoto,148
Akito Monden,149
Ken-ichi Matsumoto,150
Matthew B. Kelly,151
Jason S. Alexander,152
Sunghun Kim,153
Thomas Zimmermann,154
Tudor Girba,155
"E. James Whitehead,Jr.",156
Andreas Zeller,157
Jay Kothari,158
Trip Denton,159
Ali Shokoufandeh,160
Spiros Mancoridis,161
Haroon Malik,162
Istehad Chowdhury,163
Hsiao-Ming Tsou,164
Hadi Hemmati,165
Lionel Marks,166
Shane McIntosh,167
Thanh H.D. Nguyen,168
Mohamed Nasser,169
Masao Ohira,170
Naoya Osawa,171
Thomas O. Parry,172
Eric Less,173
Peter C. Rigby,174
Israel J. Mojica Ruiz,175
Gehan M. K. Selim,176
Liliane Barbour,177
Patrick Martin,178
Akinori Ihara,179
Robert Bowerman,180
Roman Suvorov,181
Mark D. Syer,182
Ran Tang,183
Dharmesh Thakkar,184
Dorothea Blostein,185
Claus W. Spitzer,186
Shahed Zaman,187
Lijie Zou,188
Stuart McIlroy,189
Nasir Ali,190
Hammad Khalid,191
Surafel Lemma Abebe,192
Thorsten Berger,193
Steffen Dienst,194
Naoyasu Ubayashi,195
Andy Zaidman,196
Massimiliano Di Penta,197
Philip Johnson,198
Chakkrit Tantithamthavorn,199
Baljinder Ghotra,200
Patanamon Thongtanunam,201
Hajimu Iida,202
Tarek M. ahmed,203
Xin Xia,204
David Lo,205
Daniel Alencar da Costa,206
Uira Kulesza,207
Martin Poehlmann,208
Elmar Juergens,209
Brigitte Haupt,210
Christian Wagner,211
Katie Legere,212
Seyyed Ehsan Salamati Taba,213
Fehmi Jaafar,214
Feng Zhang,215
Kim Martin,216
Jian Pei,217
Wai Ming Wong,218
Abram Hindle,219
Per Runeson,220
Martin Shepperd,221
Premkumar T. Devanbu,222
Marin Litoiu,223
Paul Vytas,224
Michele Lanza,225
,226
Yuan Tian,227
Kazuhiro Yamashita,228
Romain Robbes,229
Eric Tanter,230
Takafumi Fukushima,231
Junji Shimagaki,232
Mohamed Sami Rakha,233
Ravjot Singh,234
Cor-Paul Bezemer,235
Jinqiu Yang,236
Suhas Kabinna,237
Pradeep K. Venkatesh,238
Shaohua Wang,239
Yu Zhao,240
Quan Zheng,241
Keisuke Miura,242
Changyun Huang,243
Safwat Hassan,244
Ryan Kavanagh,245
Hammam M. AlGhmadi,246
Heng Li,247
Candy Pang,248
Roberta Coelho,249
Dayi Lin,250
Philipp Leitner,251
Ehsan Noei,252
Iman Keivanloo,253
Shaowei Wang,254
Gopi Krishnan Rajbahadur,255
Lingfeng Bao,256
Pavneet Singh Kochhar,257
Zhenchang Xing,258
Mojtaba Bagherzadeh,259
Nafiseh Kahani,260
Juergen Dingel,261
James R. Cordy,262
Christoph Treud,263